 Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Engine Load(%),Engine RPM(rpm)
10.526792,1.7,4.39,8.25,-0.02,0.02,0.1,0.51,0.78,15.69,707
10.526792,1.18,4.75,8.25,-0.01,-0.02,0.16,0.48,0.74,15.69,667.75
10.526792,0.83,4.95,8.41,0.01,0,0.08,0.5,0.76,15.69,700.75
10.526792,1.63,4.05,8.94,0.02,0.01,0.17,0.41,0.81,15.69,709
10.526792,1.27,4.25,8.32,-0.03,0.01,0.17,0.41,0.81,15.69,702.75
10.526792,1.41,4.41,8.5,0,-0.04,0.13,0.43,0.75,15.69,701
10.526792,1.46,4.37,8.7,0.01,-0.02,0.12,0.48,0.75,15.69,713
10.526792,1.27,4.27,8.42,-0.02,-0.03,0.13,0.44,0.76,15.69,704.5
6.628804,-1.77,4.77,7.62,-0.06,-0.07,-0.18,0.49,0.68,15.69,692.5
6.628804,-4.78,6.17,5.96,0.01,-0.07,-0.18,0.49,0.68,27.45,692.5
6.628804,-2.54,3.36,6.83,-0.17,-0.18,-0.26,0.34,0.6,27.45,692.5
6.628804,-0.63,0.79,6.88,-0.28,-0.29,-0.06,0.08,0.6,27.45,649.25
6.628804,1.85,-1.5,11.51,0.21,-0.29,-0.06,0.08,0.6,28.24,693.25
6.628804,2.15,0.81,13.19,0.37,1.05,-0.35,0.52,1.85,28.24,715.25
6.628804,4.16,0.99,6.65,-0.18,-0.19,0.42,0.1,0.58,28.24,690.25
6.628804,2.18,2.29,10.4,0.12,0.11,0.22,0.23,0.96,27.84,690.25
6.628804,0.52,2.29,9.32,-0.01,0.11,0.22,0.23,0.96,28.24,715
6.628804,1.05,3.4,9.75,0.07,0,0.05,0.32,0.85,28.24,692.25
5.18119,0.43,2.34,9.66,0.02,0.01,0.04,0.24,0.88,28.24,696.25
5.18119,0.05,2.02,9.65,0.01,0,0.01,0.21,0.88,28.24,702.25
5.18119,0.11,2.14,9.58,0.01,0,0.01,0.21,0.88,28.24,662.5
5.18119,0.14,2.45,9.5,0.01,0,0.01,0.22,0.88,28.63,704.5
5.18119,0.34,2.9,9.32,0.01,0,0.02,0.26,0.86,28.63,675.75
5.18119,0.33,2.84,9.43,0.01,0,0.03,0.29,0.86,29.02,675.75
5.18119,0.32,2.86,9.58,0.03,0,0.03,0.29,0.86,31.76,487.25
5.18119,0.08,2.52,9.61,0.02,0.02,0.02,0.29,0.88,34.12,429.25
5.18119,-0.03,1.96,9.8,0.03,0.02,0,0.2,0.9,39.22,330.25
5.18119,0.01,1.61,9.56,0,-0.01,0,0.16,0.87,39.22,367
3.8611379,-0.16,1.81,9.6,0.01,-0.01,0,0.16,0.87,40.39,449
3.8611379,0.11,1.77,9.69,0.01,0,0,0.2,0.88,43.53,449
3.8611379,0.12,1.92,9.81,0.03,0.02,0.01,0.2,0.9,44.31,767.25
3.8611379,0.05,1.91,9.67,0.02,0.01,0.01,0.2,0.89,42.75,800.75
3.8611379,0.02,1.88,9.66,0.01,0.01,0.01,0.2,0.89,40.39,859.5
3.8611379,0.11,1.96,9.62,0.01,0,0.01,0.2,0.88,40.39,863.25
3.8611379,0.11,2.01,9.65,0.01,0.01,0.01,0.2,0.88,38.43,863.25
3.8611379,0.06,2.14,9.6,0.01,0,0.01,0.22,0.88,36.86,892
3.8611379,0.12,2.27,9.52,0.01,0,0.01,0.22,0.88,34.9,911
3.8611379,0.14,2.36,9.55,0.01,0,0.01,0.23,0.87,34.9,882
3.8611379,0.17,2.5,9.57,0.02,0.01,0.02,0.26,0.87,34.12,870
3.7900925,0.18,2.49,9.57,0.02,0.01,0.02,0.25,0.88,33.33,837.75
3.7900925,0.16,2.53,9.5,0.01,0.01,0.02,0.25,0.88,32.55,837.75
3.7900925,0.15,2.46,9.51,0.01,0,0.02,0.26,0.87,32.55,787.5
3.7900925,0.06,2.48,9.53,0.01,0,0.01,0.25,0.87,32.16,769.25
3.7900925,0.16,2.53,9.5,0.01,0,0.02,0.26,0.87,33.73,759.75
3.7900925,0.09,2.48,9.53,0.01,0,0.02,0.26,0.87,33.73,755.75
3.7900925,0.12,2.45,9.47,0.01,0,0.01,0.25,0.87,34.51,757.25
3.7900925,0.1,2.52,9.49,0.01,0,0.01,0.26,0.87,35.29,757.25
3.7900925,0.1,2.67,9.54,0.02,0.01,0.01,0.27,0.87,38.04,787.75
3.7900925,0.13,2.67,9.44,0.01,0.01,0.01,0.27,0.87,40,796.75
3.7900925,0.15,2.81,9.33,0,0.01,0.01,0.27,0.87,42.35,819.25
3.7900925,0.12,2.99,9.3,0.01,0,0.01,0.3,0.85,48.24,867
3.7900925,0.16,2.98,9.43,0.02,0.01,0.02,0.3,0.86,48.24,924.5
3.7900925,0.18,2.87,9.56,0.03,0.02,0.02,0.29,0.87,52.16,1007
3.7900925,0.03,3.03,9.51,0.03,0.02,0.02,0.29,0.87,53.73,1007
3.7900925,0.06,3.06,9.1,-0.01,-0.02,0.01,0.31,0.83,53.33,1285
3.7900925,-0.02,3.4,9.21,0.01,0,0,0.35,0.84,52.94,1387
3.7900925,0.26,3.56,9.35,0.03,0,0,0.35,0.84,52.94,1466
3.7900925,0.12,4.46,9.08,0.04,0.04,0.02,0.42,0.85,52.55,1471
3.7900925,0.09,4.59,8.99,0.04,0.03,0.01,0.47,0.82,53.73,1471
3.7900925,-0.16,4.09,9.47,0.06,0.05,-0.02,0.42,0.87,59.22,1233
3.7900925,-0.35,4.36,9.28,0.06,0.05,-0.02,0.42,0.87,62.75,1134.5
3.7900925,-0.09,3.19,9.08,-0.01,-0.01,-0.05,0.4,0.8,65.1,1106.5
3.7900925,0.05,2.97,9.53,0.03,0.02,0.01,0.3,0.87,65.1,1187.25
3.7900925,0.55,3.76,8.98,0,-0.01,0.06,0.38,0.82,63.53,1383.5
3.7900925,0.52,4.01,8.94,0.01,-0.01,0.06,0.38,0.82,61.96,1383.5
3.7900925,0.39,4,9.49,0.06,0,0.05,0.41,0.81,60.78,1532.25
3.7900925,0.25,3.97,9.4,0.05,0.04,0.05,0.4,0.86,60.39,1620.5
3.7900925,0.38,3.94,9.41,0.05,0.04,0.04,0.4,0.86,58.82,1720.75
3.7900925,0.67,3.66,8.95,0,0.04,0.04,0.4,0.86,58.82,1720.75
3.7900925,0.79,3.8,8.8,-0.01,-0.01,0.07,0.37,0.81,55.69,1871.25
3.7900925,0.63,3.77,9.25,0.03,0.02,0.06,0.38,0.84,54.12,1950.25
3.7900925,0.73,3.57,9.26,0.02,0.01,0.07,0.36,0.84,50.98,2035.25
3.7900925,0.79,3.7,9.53,0.06,0.01,0.07,0.36,0.84,50.98,2099.75
3.7900925,0.75,3.45,9.2,0.01,0,0.08,0.34,0.84,49.41,2173.25
3.7900925,0.61,3.42,9.29,0.02,0.01,0.06,0.35,0.85,47.84,2173.25
3.7900925,0.49,3.57,9.14,0.01,0,0.05,0.36,0.83,46.27,2321.25
3.7900925,0.63,3.31,9.34,0.02,0,0.05,0.36,0.83,45.88,2374.5
3.7900925,0.96,3.4,9.67,0.06,0,0.06,0.32,0.84,45.49,2455
3.7900925,0.83,3.43,9.43,0.04,0.03,0.08,0.35,0.86,45.49,2531.5
3.7900925,0.51,3.14,8.82,-0.03,-0.04,0.05,0.32,0.8,38.04,2539.75
3.7900925,0.39,2.44,9.27,-0.01,-0.04,0.05,0.32,0.8,35.29,2539.75
3.7900925,0.41,1.91,9.84,0.03,0.05,0.01,0.2,0.93,29.8,2573.25
3.7900925,0.38,1.92,10,0.05,0.04,0.04,0.2,0.92,24.71,2643
3.7900925,0.41,1.91,9.53,0,-0.01,0.04,0.19,0.87,24.71,2677
3.7900925,0.37,1.91,9.43,-0.01,-0.01,0.04,0.19,0.87,21.18,2705
3.7900925,0.21,1.92,10.19,0.07,-0.02,0.04,0.2,0.86,18.43,2705
3.7900925,-0.03,3.48,9.59,0.05,0.04,0,0.26,0.9,76.86,2763
3.7900925,0.08,3.85,8.68,-0.02,-0.03,0.01,0.39,0.78,78.82,2697.25
3.7900925,0.03,4.03,9.58,0.07,0.06,0,0.41,0.88,78.82,2584.75
3.7900925,0.92,5.97,9,0.11,0.06,0,0.41,0.88,87.06,2311.75
3.7900925,0.24,5.29,9.13,0.09,0.08,0.02,0.54,0.83,89.41,2311.75
3.7900925,0.88,3.8,8.67,-0.02,-0.03,0.09,0.39,0.78,91.76,1712.5
3.7900925,0.25,3.71,9.84,0.08,-0.03,0.09,0.39,0.78,91.76,1664
3.7900925,0.97,3.29,8.69,-0.04,-0.02,0.1,0.38,0.8,91.37,1685.25
3.7900925,0.55,3.6,9.41,0.04,0.03,0.06,0.37,0.86,91.37,1757.25
3.7900925,1.16,3.53,9.27,0.03,0.02,0.12,0.36,0.85,90.59,1776
3.7900925,1.35,3.55,9.35,0.04,0.02,0.12,0.36,0.85,90.2,1776
3.7900925,1.43,3.31,9.5,0.05,0.08,0.13,0.38,0.9,89.8,1855.5
3.7900925,0.83,3.41,9.25,0.02,-0.04,0.1,0.32,0.79,89.41,1892.5
3.7900925,1.06,3.4,9.13,0.01,0,0.11,0.35,0.83,89.02,1933.75
3.7900925,1.37,3.29,9.2,0.02,0.01,0.14,0.34,0.84,89.02,1949
3.7900925,1.32,3.56,8.16,-0.07,0.01,0.14,0.34,0.84,88.63,2040.25
3.7900925,0.7,3.51,9.8,0.07,0,0.11,0.35,0.83,88.63,2040.25
3.7900925,0.96,3.53,9.69,0.07,0.06,0.1,0.36,0.89,89.02,2039.25
3.7900925,0.97,3.1,8.36,-0.08,0.06,0.1,0.36,0.89,89.02,2098.75
3.7900925,1.35,3.46,10.19,0.12,-0.04,0.12,0.31,0.8,89.02,2157.75
3.7900925,1.06,3.61,9.72,0.07,0.06,0.11,0.37,0.89,89.02,2191.5
3.7900925,0.64,3.54,9.14,0.01,0,0.07,0.36,0.83,88.63,2250.5
3.7900925,0.65,3.17,9.25,0.01,0,0.07,0.36,0.83,64.71,2250.5
3.7900925,0.54,2.33,9.53,0.01,0.04,0.06,0.29,0.89,48.24,2186.75
3.7900925,0.6,1.9,9.11,-0.04,-0.05,0.06,0.19,0.83,40.78,2212.5
3.7900925,0.37,1.8,9.41,-0.01,-0.02,0.04,0.18,0.86,31.37,2241.75
3.7900925,0.49,1.88,9.76,0.02,-0.02,0.04,0.18,0.86,31.37,2237.75
3.7900925,0.83,2.28,10.53,0.11,0.08,0.08,0.23,0.95,51.37,2237.75
3.7900925,0.44,2.82,9.73,0.04,0.03,0.04,0.29,0.89,76.08,2311
3.7900925,0.48,2.58,9.47,0.01,0,0.05,0.26,0.87,64.71,2242.25
3.7900925,0.11,2.63,9.58,0.02,0.01,0.01,0.27,0.88,64.71,2242.25
3.7900925,0.19,1.59,10.1,0.05,0.01,0.01,0.27,0.88,47.45,2247.25
3.7900925,0.18,0.47,9.54,-0.02,0.04,0.03,0.08,0.94,47.45,2229.75
3.7900925,0.2,0.17,9.51,-0.02,-0.03,0.02,0.02,0.87,38.43,2229.75
3.7900925,0.18,-0.18,10.09,0.04,-0.03,0.02,0.02,0.87,30.98,2130
3.7900925,0.14,-1.29,10.64,0.1,0.07,0.02,-0.09,0.97,30.98,2132
3.7900925,0.45,-2,10.4,0.09,0.08,0.05,-0.2,0.96,24.31,2132
3.7900925,0.5,-2.36,10.69,0.13,0.12,0.05,-0.24,0.99,19.61,2098.25
3.7900925,0.7,-2.11,10.94,0.15,0.12,0.05,-0.24,0.99,16.86,2061.5
3.7900925,0.3,-2.3,10.89,0.15,0.18,0,-0.28,1.04,16.86,2061.5
3.7900925,0.44,-2.54,9.92,0.06,0.05,0.05,-0.26,0.91,15.29,1972
3.7900925,0.25,-2.49,10.74,0.13,0.12,0.03,-0.25,0.99,15.29,1972
3.7900925,0.32,-3.06,11.39,0.21,0.12,0.03,-0.25,0.99,14.51,1861
3.7900925,0.4,-3.13,10.67,0.14,0.2,0.03,-0.31,1.06,14.51,1861
3.7900925,0.35,-2.93,10.03,0.08,0.16,0.02,-0.35,1.01,14.51,1703.25
3.7900925,-0.12,-3.06,10.92,0.17,0.16,-0.01,-0.31,1.01,14.51,1703.25
3.7900925,0.19,-3.5,11.25,0.21,0.2,0.02,-0.36,1.05,14.51,1703.25
3.7900925,0.09,-4.07,11.62,0.26,0.2,0.02,-0.36,1.05,14.51,1413
3.7900925,-0.33,-3.79,11.54,0.25,0.24,-0.03,-0.39,1.08,15.29,1413
3.7900925,0.13,-3.84,10.73,0.17,0.16,0.01,-0.39,0.99,19.22,1252.25
3.7900925,0.66,-3.97,10.52,0.16,0.16,0.01,-0.39,0.99,19.22,1265.75
3.7900925,0.46,-1.85,10.73,0.12,0.19,0.06,-0.4,1.01,19.61,1237
3.7900925,0.56,1.74,9.47,-0.01,-0.02,0.06,0.18,0.87,20,1237
3.7900925,-0.1,4.13,9.25,0.04,0.03,-0.01,0.42,0.84,20.78,1190.75
3.7900925,-0.25,1.86,10.14,0.08,0.03,-0.01,0.42,0.84,21.18,1172.75
3.7900925,-0.23,1.79,9.39,-0.02,0.05,-0.03,0.19,0.93,21.18,1155.75
3.7900925,0.07,2.35,8.93,-0.05,-0.06,0.01,0.24,0.81,21.18,1146.25
3.7900925,0.35,1.95,10.07,0.06,0.05,0.04,0.2,0.93,21.18,1146.25
3.7900925,0.14,2.42,9.87,0.05,0.05,0.04,0.2,0.93,21.18,1116.5
3.7900925,-0.05,2.29,9.44,0,0.04,0.01,0.25,0.91,21.18,1097
3.7900925,0,2.07,9.38,-0.01,-0.04,-0.01,0.2,0.84,21.18,1083.25
3.7900925,0.07,2.34,9.73,0.03,0.02,0.01,0.24,0.89,21.18,1065
3.7900925,0.28,2,10.07,0.06,0.05,0.03,0.2,0.93,21.18,1065
3.7900925,0.12,2.06,9.61,0.01,0.05,0.03,0.2,0.93,21.18,1038.5
3.7900925,1.22,2.03,9.72,0.03,0.02,0.12,0.21,0.89,21.18,1026.25
3.7900925,0.37,3.21,10.16,0.1,0.09,0.04,0.33,0.94,21.18,1015
3.7900925,0.88,6.1,9.6,0.17,0.09,0.04,0.33,0.94,21.57,984.75
3.7900925,2.92,1.04,10.14,0.09,0.06,-0.2,0.31,0.9,21.57,984.75
3.7900925,3.22,5.77,11.13,0.33,0.32,0.33,0.59,1.03,21.57,962.75
3.7900925,6.82,4.44,7.77,0.16,0.15,0.7,0.45,0.69,21.57,951.5
3.7900925,6.72,4.44,5.4,0,0.15,0.7,0.45,0.69,21.57,917.25
3.7900925,3.24,2.14,5.45,-0.31,-0.19,0.29,0.56,0.41,21.57,905
3.7900925,1.33,5.29,8.43,0.03,0.02,0.14,0.54,0.76,21.57,890.25
3.7900925,2.98,3.02,8.92,0.02,0.01,0.3,0.31,0.81,21.96,890.25
3.7900925,0.27,0.45,13.11,0.35,0.34,0.03,0.05,1.24,22.35,854.5
3.7900925,-0.35,0.98,10.18,0.05,0.34,0.03,0.05,1.24,22.35,835
3.7900925,-0.35,2.84,8.75,-0.05,-0.13,-0.04,0.15,0.76,23.14,819.25
3.7900925,0.29,2.2,8.54,-0.09,-0.1,0.03,0.22,0.77,23.14,806
3.7900925,0.13,2.82,8.58,-0.07,-0.1,0.03,0.22,0.77,23.53,799
3.7900925,-0.13,2.35,10.07,0.06,-0.06,-0.03,0.29,0.79,23.92,799
3.7900925,-0.41,2.59,10.51,0.11,0.1,-0.04,0.26,0.97,24.31,769.25
3.7900925,0.63,3.31,9.35,0.02,0.01,0.06,0.34,0.85,24.71,755.5
3.7900925,0.65,3.01,8.65,-0.05,0.01,0.06,0.34,0.85,25.1,749
3.7900925,0.63,3.75,8.94,0,-0.04,0.07,0.35,0.79,25.49,736.75
3.7900925,0.52,3.72,8.74,-0.02,-0.03,0.05,0.38,0.79,25.49,721
3.7900925,0.57,3.69,8.88,-0.01,-0.02,0.06,0.38,0.81,25.88,719
3.7900925,0.52,3.79,8.82,-0.01,-0.02,0.06,0.38,0.81,26.27,719
